date,day_of_week,hour,covers,weather,is_holiday,is_special_event,notes
2024-01-01,Monday,11,16,rainy,True,True,New Year's Day
2024-01-01,Monday,12,40,rainy,True,True,New Year's Day
2024-01-01,Monday,13,50,rainy,True,True,New Year's Day
2024-01-01,Monday,14,38,rainy,True,True,New Year's Day
2024-01-01,Monday,15,18,rainy,True,True,New Year's Day
2024-01-01,Monday,16,10,rainy,True,True,New Year's Day
2024-01-01,Monday,17,22,rainy,True,True,New Year's Day
2024-01-01,Monday,18,35,rainy,True,True,New Year's Day
2024-01-01,Monday,19,39,rainy,True,True,New Year's Day
2024-01-01,Monday,20,51,rainy,True,True,New Year's Day
2024-01-01,Monday,21,37,rainy,True,True,New Year's Day
2024-01-01,Monday,22,16,rainy,True,True,New Year's Day
2024-01-02,Tuesday,11,10,rainy,False,False,
2024-01-02,Tuesday,12,23,rainy,False,False,
2024-01-02,Tuesday,13,36,rainy,False,False,
2024-01-02,Tuesday,14,23,rainy,False,False,
2024-01-02,Tuesday,15,12,rainy,False,False,
2024-01-02,Tuesday,16,6,rainy,False,False,
2024-01-02,Tuesday,17,15,rainy,False,False,
2024-01-02,Tuesday,18,25,rainy,False,False,
2024-01-02,Tuesday,19,29,rainy,False,False,
2024-01-02,Tuesday,20,32,rainy,False,False,
2024-01-02,Tuesday,21,22,rainy,False,False,
2024-01-02,Tuesday,22,12,rainy,False,False,
2024-01-03,Wednesday,11,15,cloudy,False,False,
2024-01-03,Wednesday,12,36,cloudy,False,False,
2024-01-03,Wednesday,13,44,cloudy,False,False,
2024-01-03,Wednesday,14,33,cloudy,False,False,
2024-01-03,Wednesday,15,17,cloudy,False,False,
2024-01-03,Wednesday,16,10,cloudy,False,False,
2024-01-03,Wednesday,17,20,cloudy,False,False,
2024-01-03,Wednesday,18,39,cloudy,False,False,
2024-01-03,Wednesday,19,56,cloudy,False,False,
2024-01-03,Wednesday,20,49,cloudy,False,False,
2024-01-03,Wednesday,21,33,cloudy,False,False,
2024-01-03,Wednesday,22,19,cloudy,False,False,
2024-01-04,Thursday,11,20,sunny,False,False,
2024-01-04,Thursday,12,46,sunny,False,False,
2024-01-04,Thursday,13,52,sunny,False,False,
2024-01-04,Thursday,14,40,sunny,False,False,
2024-01-04,Thursday,15,22,sunny,False,False,
2024-01-04,Thursday,16,14,sunny,False,False,
2024-01-04,Thursday,17,29,sunny,False,False,
2024-01-04,Thursday,18,40,sunny,False,False,
2024-01-04,Thursday,19,61,sunny,False,False,
2024-01-04,Thursday,20,55,sunny,False,False,
2024-01-04,Thursday,21,39,sunny,False,False,
2024-01-04,Thursday,22,24,sunny,False,False,
2024-01-05,Friday,11,20,rainy,False,False,
2024-01-05,Friday,12,47,rainy,False,False,
2024-01-05,Friday,13,59,rainy,False,False,
2024-01-05,Friday,14,42,rainy,False,False,
2024-01-05,Friday,15,20,rainy,False,False,
2024-01-05,Friday,16,11,rainy,False,False,
2024-01-05,Friday,17,23,rainy,False,False,
2024-01-05,Friday,18,46,rainy,False,False,
2024-01-05,Friday,19,54,rainy,False,False,
2024-01-05,Friday,20,51,rainy,False,False,
2024-01-05,Friday,21,42,rainy,False,False,
2024-01-05,Friday,22,19,rainy,False,False,
2024-01-06,Saturday,11,30,cloudy,False,False,
2024-01-06,Saturday,12,74,cloudy,False,False,
2024-01-06,Saturday,13,88,cloudy,False,False,
2024-01-06,Saturday,14,58,cloudy,False,False,
2024-01-06,Saturday,15,33,cloudy,False,False,
2024-01-06,Saturday,16,21,cloudy,False,False,
2024-01-06,Saturday,17,41,cloudy,False,False,
2024-01-06,Saturday,18,75,cloudy,False,False,
2024-01-06,Saturday,19,67,cloudy,False,False,
2024-01-06,Saturday,20,87,cloudy,False,False,
2024-01-06,Saturday,21,60,cloudy,False,False,
2024-01-06,Saturday,22,32,cloudy,False,False,
2024-01-07,Sunday,11,22,rainy,False,False,
2024-01-07,Sunday,12,47,rainy,False,False,
2024-01-07,Sunday,13,56,rainy,False,False,
2024-01-07,Sunday,14,37,rainy,False,False,
2024-01-07,Sunday,15,21,rainy,False,False,
2024-01-07,Sunday,16,14,rainy,False,False,
2024-01-07,Sunday,17,28,rainy,False,False,
2024-01-07,Sunday,18,44,rainy,False,False,
2024-01-07,Sunday,19,61,rainy,False,False,
2024-01-07,Sunday,20,61,rainy,False,False,
2024-01-07,Sunday,21,42,rainy,False,False,
2024-01-07,Sunday,22,23,rainy,False,False,
2024-01-08,Monday,11,11,rainy,False,False,
2024-01-08,Monday,12,26,rainy,False,False,
2024-01-08,Monday,13,29,rainy,False,False,
2024-01-08,Monday,14,22,rainy,False,False,
2024-01-08,Monday,15,11,rainy,False,False,
2024-01-08,Monday,16,6,rainy,False,False,
2024-01-08,Monday,17,15,rainy,False,False,
2024-01-08,Monday,18,24,rainy,False,False,
2024-01-08,Monday,19,31,rainy,False,False,
2024-01-08,Monday,20,29,rainy,False,False,
2024-01-08,Monday,21,19,rainy,False,False,
2024-01-08,Monday,22,11,rainy,False,False,
2024-01-09,Tuesday,11,12,rainy,False,False,
2024-01-09,Tuesday,12,26,rainy,False,False,
2024-01-09,Tuesday,13,33,rainy,False,False,
2024-01-09,Tuesday,14,20,rainy,False,False,
2024-01-09,Tuesday,15,11,rainy,False,False,
2024-01-09,Tuesday,16,8,rainy,False,False,
2024-01-09,Tuesday,17,16,rainy,False,False,
2024-01-09,Tuesday,18,22,rainy,False,False,
2024-01-09,Tuesday,19,30,rainy,False,False,
2024-01-09,Tuesday,20,29,rainy,False,False,
2024-01-09,Tuesday,21,23,rainy,False,False,
2024-01-09,Tuesday,22,12,rainy,False,False,
2024-01-10,Wednesday,11,16,cloudy,False,False,
2024-01-10,Wednesday,12,38,cloudy,False,False,
2024-01-10,Wednesday,13,46,cloudy,False,False,
2024-01-10,Wednesday,14,30,cloudy,False,False,
2024-01-10,Wednesday,15,19,cloudy,False,False,
2024-01-10,Wednesday,16,11,cloudy,False,False,
2024-01-10,Wednesday,17,24,cloudy,False,False,
2024-01-10,Wednesday,18,33,cloudy,False,False,
2024-01-10,Wednesday,19,51,cloudy,False,False,
2024-01-10,Wednesday,20,39,cloudy,False,False,
2024-01-10,Wednesday,21,34,cloudy,False,False,
2024-01-10,Wednesday,22,21,cloudy,False,False,
2024-01-11,Thursday,11,13,rainy,False,False,
2024-01-11,Thursday,12,34,rainy,False,False,
2024-01-11,Thursday,13,46,rainy,False,False,
2024-01-11,Thursday,14,31,rainy,False,False,
2024-01-11,Thursday,15,15,rainy,False,False,
2024-01-11,Thursday,16,9,rainy,False,False,
2024-01-11,Thursday,17,20,rainy,False,False,
2024-01-11,Thursday,18,28,rainy,False,False,
2024-01-11,Thursday,19,42,rainy,False,False,
2024-01-11,Thursday,20,36,rainy,False,False,
2024-01-11,Thursday,21,29,rainy,False,False,
2024-01-11,Thursday,22,15,rainy,False,False,
2024-01-12,Friday,11,18,rainy,False,False,
2024-01-12,Friday,12,43,rainy,False,False,
2024-01-12,Friday,13,58,rainy,False,False,
2024-01-12,Friday,14,35,rainy,False,False,
2024-01-12,Friday,15,21,rainy,False,False,
2024-01-12,Friday,16,13,rainy,False,False,
2024-01-12,Friday,17,23,rainy,False,False,
2024-01-12,Friday,18,43,rainy,False,False,
2024-01-12,Friday,19,56,rainy,False,False,
2024-01-12,Friday,20,56,rainy,False,False,
2024-01-12,Friday,21,34,rainy,False,False,
2024-01-12,Friday,22,19,rainy,False,False,
2024-01-13,Saturday,11,31,cloudy,False,False,
2024-01-13,Saturday,12,75,cloudy,False,False,
2024-01-13,Saturday,13,87,cloudy,False,False,
2024-01-13,Saturday,14,65,cloudy,False,False,
2024-01-13,Saturday,15,33,cloudy,False,False,
2024-01-13,Saturday,16,17,cloudy,False,False,
2024-01-13,Saturday,17,44,cloudy,False,False,
2024-01-13,Saturday,18,73,cloudy,False,False,
2024-01-13,Saturday,19,90,cloudy,False,False,
